sku,uid,gid,group,active,siteid,title,url,presence,locked,deleted,price,shipping,qty,shp,rtn,pmt,tag,note_memo,note_desc,note_part,note_model,note_verification,uid_dup,sold,sold_uid_ts,online_created,online_removed,birthday,by_user
B625705LA39A,625705,1039,"6M.G7CN1.001 Acer Aspire V3-372 13.3"" Full HD Touch Assembly",No,,Acer Aspire V3-372 V3-372T LCD Touch Screen Digitizer,/acer-aspire-v3-372-v3-372t-lcd-touch-screen-digitizer-625705/,Yes,No,No,0,,0,,,,,,,,Acer Aspire V3-372 Acer Aspire V3-372T,,0,1,11/9/2020 23:50,1/2/2019 17:01,1/15/2024 16:33,9/6/2018 14:48,system
B119025XA41L,119025,1041,BLACK 721218-001 14.0 XTT Touch Assembly NO BUY,No,,"Hp Pavilion Touchsmart Sleekbook 721218-001 Touch Assembly REPLACEMENT LCD Screen 14.0"" WXGA HD LED DIODE",/hp-pavilion-touchsmart-sleekbook-721218-001-touch-assembly-replacement-assembly-lcd-screen-14-0-wxga-hd-led-diode-119025/,Yes,No,No,0,,0,,,,#Assembly,,,HP 721218-001,,,0,2,5/11/2022 20:11,8/20/2019 7:08,6/12/2023 13:22,9/7/2018 14:28,chanddr
B119037BA42F,119037,1042,N140HCE-g52 REGULAR UPPA 30 Pin IPS buy #1900,Yes,54013,"Dell Latitude E7480 REPLACEMENT LAPTOP LCD Screen 14.0"" Full HD LED DIODE 7480 NON Touch",https://www.blisscomputers.net/dell-latitude-e7480-replacement-laptop-lcd-screen-14-0-full-hd-led-diode-7480-non-touch-119037/,Yes,No,No,0,,0,,,,,,,,,1. We need your laptop model and serial number / service tag to match up screen technical information.,0,8,8/17/2020 21:44,10/2/2018 16:10,0000-00-00 00:00:00,9/13/2018 13:17,chanddr
B625791MA44C,625791,1044,"YPNL-N014D YPNL-N014D V0.2, 6632L-0034D",Yes,70485,6632L-0034D Dell YPNL-N014D Inspirion 1150 Latitude D530 Laptop LCD Inverter,https://www.blisscomputers.net/6632l-0034d-dell-ypnl-n014d-inspirion-1150-latitude-d530-laptop-lcd-inverter-625791/,Yes,No,No,0,,0,,,,,,,,,,0,1,5/17/2021 4:23,1/2/2019 17:01,0000-00-00 00:00:00,9/11/2018 15:22,system
B782647RA45D,782647,1045,YPNL-N018 18 18 18 18 18 18,Yes,70496,Dell Inspiron 6000 LCD Inverter Board K02I087.00,https://www.blisscomputers.net/dell-inspiron-6000-lcd-inverter-board-k02i087-00-782647/,Yes,No,No,0,,0,,,,,,,,,,0,3,9/26/2023 19:02,1/2/2019 17:01,0000-00-00 00:00:00,9/11/2018 16:14,system
B782654RA47Z,782654,1047,IV14123/T-LF K02I112.01 LF C,No,,LCD Inverter Board Dell XPS M1210 M140 M170 P/N K02I112.01 LF IV14123/T-LF,/new-lcd-inverter-board-dell-xps-m1210-m140-m170-p-n-k02i112-01-lf-iv14123-t-lf-782654/,Yes,No,No,0,,0,,,,,,,,Dell XPS M170,,0,1,1/28/2021 3:33,1/4/2019 0:01,6/12/2023 13:23,9/11/2018 16:53,system
B119040UA50L,119040,1050,N140BGE-E53 REGULAR UPPA Connector,Yes,54024,"Dell Latitude 7480 P73g P73g001 REPLACEMENT LAPTOP LCD Screen 14.0"" WXGA HD LED DIODE 083VK3 83VK3 N140BGE-E53",https://www.blisscomputers.net/dell-latitude-7480-p73g-p73g001-replacement-laptop-lcd-screen-14-0-wxga-hd-led-diode-083vk3-83vk3-n140bge-e53-119040/,Yes,No,No,0,,0,,,,,,,N140BGE-E53 DELL D/PN 083VK3 83VK3 NT140WHM-N42 Dell PN YPGW5 0YPGW5 nt140whm-n42 dp/n # f3fwn 0f3fwn,DELL LATITUDE 7480 P73G P73G001 DELL latitude E7480 Dell LATITUDE E7480 Dell Latitude 7480 Dell Latitude 7490,,0,10,7/19/2023 12:24,10/2/2018 16:10,0000-00-00 00:00:00,9/13/2018 13:42,chanddr
B119044ZA51X,119044,1051,HP Envy 15-W M6-W 807532-001 FHD Touch Screen Assembly #1404 + #773 ship #1056 Type 1,Yes,54026,"HP Envy X360 M6-w103dx M6-w102dx 807532-001 REPLACEMENT Touch Assembly LCD Screen 15.6"" Full HD LED DIODE",https://www.blisscomputers.net/hp-envy-x360-m6-w103dx-m6-w102dx-807532-001-replacement-touch-assembly-lcd-screen-15-6-full-hd-led-diode-119044/,Yes,No,No,0,,0,,,,#Assembly,,,HP 807532-001,HP ENVY 15-3290LA NB PC HP ENVY 15-w113cl Notebook PC HP ENVY X360 CONVERTIBLE 15-W056CA HP ENVY X360 CONVERTIBLE 15-W105WM HP ENVY X360 CONVERTIBLE 15-W110NR HP ENVY X360 CONVERTIBLE 15-W117CL HP ENVY X360 CONVERTIBLE 15-W154NR HP ENVY X360 CONVERTIBLE 15-W155NR HP ENVY X360 CONVERTIBLE 15-W158CA HP ENVY X360 CONVERTIBLE 15-W181NR HP ENVY X360 CONVERTIBLE 15-W191MS HP ENVY X360 CONVERTIBLE 15-W237CL HP ENVY X360 CONVERTIBLE 15T-W000 HP ENVY X360 CONVERTIBLE 15T-W000 REFURB HP ENVY X360 CONVERTIBLE 15T-W100 HP ENVY X360 CONVERTIBLE 15T-W200 HP ENVY X360 CONVERTIBLE M6-W010DX HP ENVY X360 CONVERTIBLE M6-W011DX HP ENVY X360 CONVERTIBLE M6-W014DX HP ENVY X360 CONVERTIBLE M6-W015DX HP ENVY X360 CONVERTIBLE M6-W101DX HP ENVY X360 CONVERTIBLE M6-W102DX HP ENVY X360 CONVERTIBLE REFURB 15T-W100 HP ENVY X360 M6 CONVERTIBLE M6-W103DX HP ENVY X360 M6 CONVERTIBLE M6-W105DX HP ENVY X360 REFURB CONVERTIBLE 15T-W200 HP ENVY x360 Convert 15-w101TX HP ENVY x360 Convert 15-w102TX HP ENVY x360 Convertible 15-w010la HP ENVY x360 Convertible 15-w110la HP ENVY x360 Convertible 15t-w200 HP Envy 15-w050sa HP Envy 15-w102na HP Pavilion Notebook 14-ab109la,,0,6,7/3/2024 10:06,10/2/2018 16:10,0000-00-00 00:00:00,9/13/2018 17:01,chanddr
B647173KA53K,647173,1053,mix inverters,Yes,306405,IBM ThinkPad t41 t43 t42 Laptop Display LCD Backlight Inverter 27k9972 26p8486,https://www.blisscomputers.net/ibm-thinkpad-t41-t43-t42-laptop-display-lcd-backlight-inverter-27k9972-26p8486-647173/,Yes,No,No,9.99,,10,,,,,,,Lenovo  26p8486 lenovo 26p8486,,,0,1,2/28/2023 17:07,6/14/2019 3:06,0000-00-00 00:00:00,5/14/2019 11:02,chanddr
B625947RA55C,625947,1055,30 Pins to 20 pins 13.3 adaptor,Yes,70572,"Wholesale 13.3"" LCD Screen 30 Pin to 20 Converter Connector adapter 80001",https://www.blisscomputers.net/wholesale-13-3-lcd-screen-30-pin-to-20-converter-connector-adapter-80001-625947/,Yes,No,No,0,,0,,,,,,,,,,0,1,11/23/2021 4:25,1/2/2019 17:01,0000-00-00 00:00:00,9/17/2018 9:36,system
B119077KA56L,119077,1056,HP 862644-001 15-BK 30 pin FHD Assembly Type 1.. 4 Magnet Type 2 .. 3 Magnet Design ( we are shipping desneudo ),Yes,54056,"HP Pavilion 862644-001 Touch Assembly REPLACEMENT LCD Screen 15.6"" Full HD LED DIODE X360 15- BK SERIES",https://www.blisscomputers.net/hp-pavilion-862644-001-touch-assembly-replacement-lcd-screen-15-6-full-hd-led-diode-x360-15-bk-series-119077/,Yes,No,No,0,,0,,,,#Assembly,,,,HP PAVILION NOTEBOOK 15-BK021NR HP PAVILION X360 REFURB CONVERTIBLE 15T-BK000 HP PAVILION X360 CONVERTIBLE 15-BK001DS HP PAVILION X360 CONVERTIBLE 15-BK002CY HP PAVILION X360 CONVERTIBLE 15-BK002DS HP PAVILION X360 CONVERTIBLE 15-BK003CY HP PAVILION X360 CONVERTIBLE 15-BK003DS HP PAVILION X360 CONVERTIBLE 15-BK015NR HP PAVILION X360 CONVERTIBLE 15-BK020WM HP PAVILION X360 CONVERTIBLE 15-BK074NR HP PAVILION X360 CONVERTIBLE 15-BK075NR HP PAVILION X360 CONVERTIBLE 15-BK076NR HP PAVILION X360 CONVERTIBLE 15-BK152NR HP PAVILION X360 CONVERTIBLE 15-BK157CL HP PAVILION X360 CONVERTIBLE 15-BK163DX HP PAVILION X360 CONVERTIBLE 15-BK167CL HP PAVILION X360 CONVERTIBLE 15-BK168CL HP PAVILION X360 CONVERTIBLE 15-BK177CL HP PAVILION X360 CONVERTIBLE 15T-BK000 HP PAVILION X360 CONVERTIBLE 15T-BK100 HP PAVILION X360 REFURB CONVERTIBLE 15T-BK000 HP PAVILION X360 REFURB CONVERTIBLE 15T-BK100 HP Pav x360 Convert 15-bk100nq HP Pavilion x360 15-bk101la,,0,6,6/9/2023 16:14,10/2/2018 16:10,0000-00-00 00:00:00,9/17/2018 14:04,chanddr
