Title_1,Title_2,Part_1,Part_2,Part_3,Model_1,Desc_1,Model_2,Price
New 144Hz Screen for MSI Katana 15 B12UCXK B12UDXK B12VEK B12VFK B12VGK B13UDXK B13VEK B13VFK B13VGK,Replacement Laptop LCD LED Screen Display Monitor,,,,"Katana 15 B12UCXK
Katana 15 B12UDXK
Katana 15 B12VEK
Katana 15 B12VFK
Katana 15 B12VGK
Katana 15 B13UDXK
Katana 15 B13VEK
Katana 15 B13VFK
Katana 15 B13VGK",,,129.99
New Non-Touch Screen for Lenovo 5M11D12294 5M11D12295 5M11D12293 5M11D12292 5M11D12263 5M11D12264 X1 Nano Gen 2,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,169.99
"New 14"" WQXGA+ Screen for Lenovo 5D11K83637",Replacement Laptop LCD LED Screen Display Monitor,5D11K83637,,,"IdeaPad Pro 5 14APH8
IdeaPad Pro 5 14ARP8
IdeaPad Pro 5 14IRH8
Yoga Slim 6 14IAP8
Yoga Slim 6 14IRP8
Yoga Slim 7 Pro 14ARH7
Yoga Slim 7 Pro 14IAH7",,,149.99
"New 16"" WQXGA 240Hz Screen for Lenovo 5D11J38192 5D11J38182 5D11J38194",Replacement Laptop LCD LED Screen Display Monitor,"5D11J38192
5D11J38182
5D11J38194",,,"Legion 5 Pro 16ARH7H
Legion 5 Pro 16IAH7H
Legion 7 16ARHA7
Legion 7 16IAX7
Legion S7 16ARHA7
Legion S7 16IAH7",,,269.99
"New 16"" WUXGA 165Hz Screen for Lenovo 5D11H29626 5D11H29628 5D11H29636",Replacement Laptop LCD LED Screen Display Monitor,"5D11H29626
5D11H29628
5D11H29636",,,"Legion 5 Pro 16ARH7
Legion 5 Pro 16ARH7H
Legion 5 Pro 16IAH7
Legion 5 Pro 16IAH7H
Legion S7 16ARHA7
Legion S7 16IAH7",,,199.99
"New 16"" WQXGA 165Hz Screen for Lenovo 5D11H29621 5D11H29622 500nits",Replacement Laptop LCD LED Screen Display Monitor,"5D11H29621
5D11H29622",,,"Legion 5 Pro 16ARH7
Legion 5 Pro 16ARH7H
Legion 7 16ARHA7
Legion S7 16ARHA7",,,199.99
New Screen for Lenovo Yoga Slim 6 14APU8 14IAP8 14IRH8 14IRP8,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,169.99
"New 14"" WQXGA+ Screen for Lenovo 5D11J16584 5D11J17490 400nits",Replacement Laptop LCD LED Screen Display Monitor,"5D11J16584
5D11J17490",,,"IdeaPad Pro 5 14APH8
IdeaPad Pro 5 14ARP8
IdeaPad Pro 5 14IRH8
Yoga Slim 6 14IAP8
Yoga Slim 6 14IAP8
Yoga Slim 7 Pro 14ARH7
Yoga Slim 7 Pro 14IAH7",,,169.99
New Screen for Lenovo 5D11B36353 5D11B36354 5D11B36357 5D11C99358 5D11D08013 5D11D69629 5D11D96482 5D11D96861 5D11J12408,Replacement Laptop LCD LED Screen Display Monitor,"5D11B36353
5D11B36354
5D11B36357
5D11C99358
5D11D08013
5D11D69629
5D11D96482
5D11D96861
5D11J12408",,,"IdeaPad Gaming 3 15ARH7
IdeaPad Gaming 3 15IAH7
Ideapad Gaming 3-15ACH6
IdeaPad Gaming 3-15IHU6
Legion 5 15ACH6
Legion 5 15ACH6A
Legion 5 15ARH7
Legion 5 15ARH7H
Legion 5 15IAH7
Legion 5 15IAH7H
Legion 5 15IMH6
Legion 5 15ITH6
Legion 5 15ITH6H
Legion S7 15ACH6",,,159.99
"New 15.6"" WQHD 165Hz Screen for Lenovo 5D11D04810 5D11D04807 5D11D04809",Replacement Laptop LCD LED Screen Display Monitor,"5D11D04810
5D11D04807
5D11D04809",,,"IdeaPad Gaming 3 15ARH7
IdeaPad Gaming 3 15IAH7
Legion 5 15ACH6
Legion 5 15ACH6A
Legion 5 15ARH7
Legion 5 15ARH7H
Legion 5 15IAH7
Legion 5 15IAH7H
Legion 5 15ITH6
Legion 5 15ITH6H
LOQ 15APH8
LOQ 15IRH8",,,169.99
"New 14"" FHD Screen for Lenovo 5D10W69523 5D10W69926 5D10W69935 5D11B60376 5D11B64084",Replacement Laptop LCD LED Screen Display Monitor,5D10W69935,"5D10W69523
5D10W69926
5D11B60376
5D11B64084",,"ThinkPad E14 Gen 2
ThinkPad E14 Gen 3
ThinkPad E14 Gen 4
IdeaPad 5 14ABA7
IdeaPad 5 14IAL7
IdeaPad 5-14ALC05
IdeaPad 5-14ARE05
IdeaPad 5-14IIL05
IdeaPad 5-14ITL05
Yoga Slim 7-14ARE05
Yoga Slim 7-14IIL05
Yoga Slim 7-14ITL05",,,119.99
"New 16"" WUXGA Screen for Lenovo 5D10V82449 5D10V82450 B160UAN01.K 400nits",Replacement Laptop LCD LED Screen Display Monitor,5D10V82449,5D10V82450,,"ThinkPad P16s Gen 2
ThinkPad T16 Gen 2",,,199.99
"New 14"" WUXGA Screen for Lenovo 5D10V82397 5D10V82398 LP140WU2-SPD1 M140NW4D R4",Replacement Laptop LCD LED Screen Display Monitor,"5D10V82397
5D10V82398",,,"ThinkPad E14 Gen 5
ThinkPad P14s Gen 3
ThinkPad P14s Gen 4
ThinkPad T14 Gen 3
ThinkPad T14 Gen 4
ThinkPad T14s Gen 3
ThinkPad T14s Gen 4",,,139.99
"New 14"" WUXGA+ Screen for Lenovo 5D11G99892 5D11B43177 5D11F27016 5D11B43178 5D11B43181",Replacement Laptop LCD LED Screen Display Monitor,"5D11G99892
5D11B43177
5D11F27016
5D11B43178
5D11B43181",,,"ThinkPad E14 Gen 5
ThinkPad P14s Gen 3
ThinkPad P14s Gen 4
ThinkPad T14 Gen 3
ThinkPad T14 Gen 4
ThinkPad T14s Gen 3
ThinkPad T14s Gen 4",,,139.99
New Non-Touch Screen for Lenovo Yoga Slim 7 Carbon 13IAP7 13IRP8 5D11G76214 5D11G76218,Replacement Laptop LCD LED Screen Display Monitor,5D11G76214,5D11G76218,,,,,179.99
New Non-Touch Screen for Lenovo Yoga Slim 7 Pro 14ARH7 14IAH7 14IAP7,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,169.99
"New 14"" Screen for Lenovo 5D11D19217 5D11F28183 5D10Z52004 5D10Z52006",Replacement Laptop LCD LED Screen Display Monitor,"5D11F28183
5D10Z52004
5D10Z52006
5D11D19217",,,"IdeaPad 5 Pro 14ARH7
IdeaPad 5 Pro 14IAP7
IdeaPad 5 Pro-14ACN6
IdeaPad 5 Pro-14ITL6
Yoga Slim 7 Pro 14ARH7
Yoga Slim 7 Pro 14IAH7
Yoga Slim 7 Pro 14IAP7
Yoga Slim 7 Pro-14ACH5
Yoga Slim 7 Pro-14IHU5",,,169.99
"New 14"" Screen for Lenovo 5D10Z52008 5D10Z52010 5D11B38979",Replacement Laptop LCD LED Screen Display Monitor,5D10Z52008,"5D10Z52010
5D11B38979",,"IdeaPad 5 Pro 14ARH7
IdeaPad 5 Pro 14IAP7
ideapad 5 Pro-14ACN6
ideapad 5 Pro-14ITL6
IdeaPad Pro 5 14APH8
IdeaPad Pro 5 14IRH8
Yoga Slim 6 14IAP8
Yoga Slim 6 14IRP8
Yoga Slim 7 Pro 14ARH7
Yoga Slim 7 Pro 14IAH7
Yoga Slim 7 Pro 14IAP7
Yoga Slim 7 Pro-14ACH5
Yoga Slim 7 Pro-14ARH5
Yoga Slim 7 Pro-14ITL5",,,119.99
New 3K Screen for Lenovo Yoga Slim 7 ProX 14ARH7 14IAH7 5D10S39876 5D10S39981 5D10S39875 5D10S39890 5D10S39891 5D10S40002,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,199.99
New 144Hz 165Hz FHD WQHD Screen for Lenovo Legion 5 15ARH7 15ARH7H 15IAH7 15IAH7H,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,179.99
New FHD WQHD Screen for Asus ROG Strix SCAR 15 G533QM G533QR G533QS G533ZX G533ZM G533ZW G533ZS,Replacement Laptop LCD LED Screen Display Monitor,,,,"ROG Strix SCAR 15 2021
G533QR-DS76Q
G533QR-XS98Q
G533QS-DS98
G533QS-XS98Q
G533QS-DS94
G533QS-DS76
G533QS-DS96
G533QS-HQ Series
G533QS-HFSeries
G533QR-HF Series
G533QM-HQ Series
G533QM-HF Series",,,179.99
New 165Hz WQHD Screen for Asus ROG Zephyrus G15 GA503QC GA503QE GA503QM GA503QR GA503QS GA503RW GA503RM GA503RS GA503RX,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,169.99
New 144Hz 165Hz 300Hz Screen for Asus TUF Dash F15 FX517ZC FX517ZE FX517ZM FX517ZR,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,159.99
New 144Hz 165Hz 300Hz Screen for Asus TUF Gaming A15 2022 FA507RC FA507RE FA507RM FA507RR,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,159.99
New 144Hz 165Hz 300Hz Screen for Asus TUF Gaming F15 2022 FX507ZC FX507ZE FX507ZM FX507ZR,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,159.99
New WUXGA WQXGA Screen for Asus ROG Zephyrus M16 2022 GU603ZX GU603ZW GU603ZM GU603ZE,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,189.99
New 165Hz 240Hz Screen for Asus ROG Zephyrus G16 2023 GU603VI GU603VU GU603VV GU603ZI GU603ZU GU603ZV,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,269.99
New Screen for Asus ROG Zephyrus G14 2023 GA402XI GA402XU GA402XV GA402XY GA402XZ GA402NI GA402NJ GA402NU GA402NV,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,199.99
"New 16"" WUXGA WQXGA Screen for Asus ROG Strix G16 2023 G614JI G614JU G614JV G614JZ G614JJ",Replacement Laptop LCD LED Screen Display Monitor,,,,,,,269.99
"New 16"" WUXGA WQXGA Screen for Lenovo LOQ 16APH8 16IRH8",Replacement Laptop LCD LED Screen Display Monitor,,,,,,,179.99
"New 16"" WUXGA 144Hz Screen for Lenovo 5D11J74772 5D11J74773 5D11J74768",Replacement Laptop LCD LED Screen Display Monitor,5D11J74768,"5D11J74772
5D11J74773",,"Legion Slim 5 16APH8
Legion Slim 5 16IRH8
LOQ 16APH8
LOQ 16IRH8",,,199.99
"New 16"" WUXGA WQXGA Screen for Lenovo Legion Slim 5 16APH8 16IRH8",Replacement Laptop LCD LED Screen Display Monitor,,,,,,,269.99
"New 16"" WQXGA 240Hz Screen for Lenovo 5D11L55822 5D11L55816 5D11L55831",Replacement Laptop LCD LED Screen Display Monitor,5D11L55822,"5D11L55816
5D11L55831",,"Legion Slim 5 16APH8
Legion Slim 5 16IRH8
Legion Slim 7 16IRH8",,,269.99
"New 16"" WQXGA 165Hz Screen for Lenovo 5D11L55814 5D11L55815 5D11L55823",Replacement Laptop LCD LED Screen Display Monitor,"5D11L55814
5D11L55815",5D11L55823,,"Legion Slim 7 16IRH8
Legion Slim 5 16APH8
Legion Slim 5 16IRH8",,,199.99
"New 16"" WQXGA 240Hz Screen for Lenovo 5D11L40981",Replacement Laptop LCD LED Screen Display Monitor,5D11L40981,,,"Legion Pro 5 16ARX8
Legion Pro 5 16IRX8
Legion Pro 7 16ARX8H
Legion Pro 7 16IRX8
Legion Pro 7 16IRX8H",,,269.99
"New 16"" WQXGA 240Hz Screen for Lenovo 5D11L40987 5D11L40983",Replacement Laptop LCD LED Screen Display Monitor,5D11L40987,5D11L40983,,"Legion Pro 5 16ARX8
Legion Pro 5 16IRX8
Legion Pro 7 16ARX8H
Legion Pro 7 16IRX8
Legion Pro 7 16IRX8H",,,269.99
"New 16"" WQXGA Screen for Lenovo 5D11L40990 5D11L40984 5D11L40974",Replacement Laptop LCD LED Screen Display Monitor,"5D11L40990
5D11L40984
5D11L40974",,,"Legion Pro 5 16ARX8
Legion Pro 5 16IRX8",,,199.99
New WQXGA Screen for Lenovo Legion Slim 7 16IRH8 16APH8,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,269.99
"New 16"" WQXGA Screen for Lenovo Legion Pro 7 16ARX8H 16IRX8 16IRX8H",Replacement Laptop LCD LED Screen Display Monitor,5D11L40987,,,"Legion Pro 7 16ARX8H
Legion Pro 7 16IRX8
Legion Pro 7 16IRX8H",,,269.99
New WQXGA Screen for Lenovo Legion Pro 5 16ARX8 16IRX8,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,269.99
New WUXGA WQXGA Screen for Lenovo Legion S7 16ARHA7 16IAH7,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,199.99
New 165Hz 240Hz Screen for Lenovo Legion 7 16ARHA7 16IAX7,Replacement Laptop LCD LED Screen Display Monitor,,,,,,,199.99
New 165Hz 240Hz Screen for Lenovo Legion 5 Pro 16ARH7 16ARH7H 16IAH7H 16IAH7,Replacement Laptop LCD LED Screen Display Monitor,,"5D11H29621
5D11H29622
5D11H29623
5D11H29626
5D11H29628
5D11H29636
5D11H71477
5D11J38182
5D11J38192
5D11J38194",,,,,269.99
New FHD WUXGA Screen for Lenovo ThinkPad L13 Gen 1 2 3 4,Replacement Laptop LCD LED Screen Display Monitor,,"02DA368
02DA370
02DA371
02DA373
02HL700
02HL701
02HL707
02HL710
02HL714
5D10V82415
5D10V82416
5D10V82422
5D10V82452
5D10W46483
5D11A22492
5D11A22504
5D11A22517
5D11B91458
5D11C89618
5D11D34354
5D11D34355
5D11D34358
5D11D34360
5D11D69574
5D11E22832
5D11G97711
5D11G99894
5D11H80308",,,,,169.99
New Screen for Lenovo ThinkPad X1 Nano Gen 1 2 3,Replacement Laptop LCD LED Screen Display Monitor,,"5M10X63649
5M10X63650
5M10X63651
5M10X63652
5M10X63653
5M10X63654
5M10X63655
5M10X63656
5M10X63658
5M10X63659
5M10X63660
5M10X63661
5M11D12263
5M11D12264
5M11D12292
5M11D12293
5M11D12294
5M11D12295
5M11D12330
5M11D12333
5M11D12334
5M11D12335
5M11L99162",,,,,169.99
New FHD WUXGA Screen for Lenovo ThinkPad E14 Gen 1 2 3 4 5,Replacement Laptop LCD LED Screen Display Monitor,,"01YN170
02DA381
02DC314
02DC315
02DL762
5D10V82390
5D10V82392
5D10V82394
5D10V82395
5D10V82396
5D10V82397
5D10W42366
5D10W46403
5D10W69523
5D10W69523
5D10W69935
5D10W87242
5D10W87245
5D10W87246
5D10Z86938
5D11B09002
5D11B43177
5D11B60376
5D11B64084
5D11B64637
5D11B68428
5D11B77649
5D11B81385
5D11C12732
5D11C18140
5D11C89612
5D11D19219
5D11F23091
5D11F27016
5D11F28687
5D11F39180
5D11F39181
5D11H87044
5D11L89624
5D11L90075",,,,,169.99
New WUXGA WQXGA Screen for Lenovo ThinkPad E16 Gen 1,Replacement Laptop LCD LED Screen Display Monitor,"5D10V82408
5D10V82411
5D10V82412
5D10V82423
5D10V82424
5D10V82439
5D10V82440
5D11E38375
5D11E38376
5D11L44828
5D11M04143",,,,,,199.99
New WUXGA WQXGA Screen for Lenovo ThinkPad P16 Gen 1 2,Replacement Laptop LCD LED Screen Display Monitor,,"5D11C95899
5D11C95900
5D11C95901
5D11C95902
5D11C95903
5D11C95904
5D11C95905
5D11C95906
5D11C95915
5D11C95916
5D11C95917
5D11C95918
5D11C95919
5D11C95924
5D11C95934
5D11C95935
5D11C95936
5M11H26693
5M11H26699
5M11H26705
5M11H26709
5M11H26715
5M11H26717",,,,,269.99
New WUXGA UHD Screen for Lenovo ThinkPad P16v Gen 1,Replacement Laptop LCD LED Screen Display Monitor,"5D10V82408
5D10V82410
5D10V82411
5D10V82439
5D10V82440
5D10V82507
5D11C95917
5D11C95918
5D11C95924
5D11E38374
5D11E38375
5D11E38376
5D11M04143",,,,,,199.99
New WUXGA WQXGA Screen for Lenovo ThinkPad P16s Gen 1 2,Replacement Laptop LCD LED Screen Display Monitor,,"5D11C95899
5D11C95900
5D11C95901
5D11C95902
5D11C95903
5D11C95904
5D11C95905
5D11C95906
5D11C95915
5D11C95916
5D11C95917
5D11C95918
5D11C95919
5D11C95924
5D11C95935
5D11C95936
5M11H26693
5M11H26699
5M11H26705
5M11H26709
5M11H26715
5M11H26717",,,,,199.99
"New 13.3"" WUXGA Screen for Lenovo 5D11A22492 5D11A22504 5D11A22505 5D11A22506 5D11G97711 5D11G99894",Replacement Laptop LCD LED Screen Display Monitor,"5D11A22492
5D11A22504","5D11A22505
5D11A22506
5D11G97711
5D11G99894",,"ThinkPad L13 Gen 3
ThinkPad L13 Gen 4
ThinkPad X13 Gen 2
ThinkPad X13 Gen 3
ThinkPad X13 Gen 4",,,99.99
"New 13.3"" WUXGA Screen for Lenovo ThinkPad X13 L13 Gen 4 5D10V82414 5D10V82415 5D10V82416 400 nits",Replacement Laptop LCD LED Screen Display Monitor,5D10V82416,"5D10V82414
5D10V82415",,"ThinkPad X13 Gen 4
ThinkPad L13 Gen 4",,,169.99
"New 16"" WQXGA Screen for Lenovo 5D10V82384 5D10V82423 5D10V82424 5D11E21573 5D11F30920",Replacement Laptop LCD LED Screen Display Monitor,"5D10V82384
5D11F30920
5D11E21573","5D10V82423
5D10V82424",,"ThinkPad E16 Gen 1
ThinkPad T16 Gen 1
ThinkBook 16P Gen 2",,,219.99
"New 16"" WUXGA Screen for Lenovo 5D10V82408 5D10V82406 5D10V82407 5D10V82409",Replacement Laptop LCD LED Screen Display Monitor,5D10V82408,"5D10V82406
5D10V82407
5D10V82409",,"ThinkPad E16 Gen 1
ThinkPad P16s Gen 1
ThinkPad P16s Gen 2
ThinkPad T16 Gen 1
ThinkPad T16 Gen 2",,,149.99
"New 16"" WUXGA Screen for Lenovo 5D10V82440 5D10V82439 300 nits",Replacement Laptop LCD LED Screen Display Monitor,,,,"ThinkPad E16 Gen 1
ThinkPad P16s Gen 1
ThinkPad P16s Gen 2
ThinkPad P16v Gen 1
ThinkPad T16 Gen 1
ThinkPad T16 Gen 2",,,159.99
"New 16"" WUXGA Screen for Lenovo 5D10V82441 5D10V82434 5D10V82403 400 nits",Replacement Laptop LCD LED Screen Display Monitor,5D10V82441,"5D10V82434
5D10V82403",,"ThinkPad P16s Gen 1
ThinkPad P16s Gen 2
ThinkPad T16 Gen 1
ThinkPad T16 Gen 2",,,199.99
"New 14"" WUXGA Screen for HP ZBook Firefly 14 G9, ZBook Firefly 14 G10",Replacement Laptop LCD LED Screen Display Monitor,,,,,,,169.99
"New 14"" WUXGA WQXGA Screen for HP EliteBook 840 G10",Replacement Laptop LCD LED Screen Display Monitor,,,,,,,199.99
New Screen for HP N22325-001 N22326-001 N22327-001 N22328-001 N50660-001,Replacement Laptop LCD LED Screen Display Monitor,,"N22326-001
N22325-001
N22328-001
N22327-001
N50660-001",,"EliteBook 840 G9
EliteBook 845 G9
EliteBook 840 G10
ZBook Firefly 14 G9
ZBook Firefly 14 G10",,,169.99
"New 14"" WUXGA 1920×1200 Screen for HP EliteBook 840 G9 845 G9",Replacement Laptop LCD LED Screen Display Monitor,,,,"EliteBook 840 G9
EliteBook 845 G9",,,169.99
New Screen for Lenovo ThinkPad P14s Gen 1 2 3 4,Replacement Laptop LCD LED Screen Display Monitor,,"01YN131
01YN142
01YN150
01YN152
01YN154
01YN155
01YN157
01YN170
02DA381
02DC316
02DL762
5D10V82345
5D10V82348
5D10V82349
5D10V82364
5D10V82366
5D10V82372
5D10V82387
5D10V82390
5D10V82392
5D10V82394
5D10V82395
5D10V82396
5D10V82397
5D10V82398
5D10V82399
5D10V82400
5D10V82401
5D10V82402
5D10V82446
5D10V82454
5D10V82458
5D10V82523
5D10W87245
5D10W87246
5D10Z46334
5D10Z72100
5D10Z86945
5D11A22491
5D11A24588
5D11A41184
5D11B07705
5D11B43177
5D11B68428
5D11C95349
5D11C95781
5D11C95994
5D11C99675
5D11D96811
5D11F23091
5D11F27016
5D11F39180
5D11G33815
5D11G99892
5D11H45003
5D11J52876
5D11L44830
5D11L89624
5M10Z54307
5M10Z54308
5M11C43969
5M11C43970
5M11C94785
5M11C94786
5M11F26626
5M11F26627
5M11F26628
5M11J05809
5M11J05811
5M11M02575
5M11M02576",,,,,269.99
