Oryx Pro (oryp9),"15.6"" 1920x1080@144Hz LCD",BOE NV156FHM-NY5
Oryx Pro (oryp9),"17.3"" 1920x1080@144Hz LCD",BOE NV173FHM-NY1
Oryx Pro (oryp8),"15.6"" 1920x1080@144Hz LCD",LG LP156WFG-SPB3
Oryx Pro (oryp8),"17.3"" 1920x1080@144Hz LCD",LG LP173WFG-SPB3
Oryx Pro (oryp7),"15.6"" 1920x1080@144Hz LCD",LG LP156WFG-SPB3
Oryx Pro (oryp7),"15.6"" 3840x2160@60Hz OLED",Samsung ATNA56WR06
Oryx Pro (oryp7),"17.3"" 1920x1080@144Hz LCD",LG LP173WFG-SPB
Oryx Pro (oryp6),"15.6"" 1920x1080@144Hz LCD",Panda LM156LF1F
Oryx Pro (oryp6),"17.3"" 1920x1080@144Hz LCD",LG LP173WFG-SPB1
Pangolin (pang13),"15.6"" 1920x1080@144Hz LCD",Innolux N156HRA-EA1
Pangolin (pang12),"15.6"" 1920x1080@144Hz LCD",Innolux N156HRA-EA1
Pangolin (pang11),"15.6"" 1920x1080@60Hz LCD",Innolux N156HCA-EA1
Pangolin (pang10),"15.6"" 1920x1080@60Hz LCD",LG LP156WFC-SPD1
Serval WS (serw12),"15.6"" 1920x1080@144Hz LCD",Panda LM156LF-2F01
Serval WS (serw12),"15.6"" 1920x1080@144Hz LCD",LG P156WFG-SPB2
