Title_1,Title_3,Title_2,Part_2,Model_1,Model_2,Desc_1,Price
 HP SPS-DSPLY HU 11.6 SVA AG TS LED WWAN,Replacement Screen Display, 756108-001,,"HP PAVILION 11-N001NG X360 PC (ENERGY STAR) - K0W10EA, HP PAVILION 11-N001NG X360 PC (ENERGY STAR) - K0W10EAR, HP PAVILION 11T-N000 X360 CTO PC (ENERGY STAR) - F8C03AAR, HP PAVILION 11T-N000 X360 CTO PC (ENERGY STAR) - F8C03AV, HP PAVILION 11T-N000 X360 CTO PC (ENERGY STAR) - K0A52AAR, HP PAVILION 11T-N000 X360 CTO PC (ENERGY STAR) - K0A52AV, HP PAVILION 11T-N000 X360 CTO PC (ENERGY STAR) - K0A53AAR, HP PAVILION 11T-N000 X360 CTO PC (ENERGY STAR) - K0A53AV",,,499
 HP SPS-DSPLY PANEL MODULE AG TS LED NON-WP1,Replacement Screen Display, 802266-001,,"HP PAVILION 11-N010LA X360 PC (ENERGY STAR) - F4H26LA, HP PAVILION 11-N043TU X360 PC - K8T86PA, HP PAVILION 11-N044TU X360 PC - L1M54PA, HP PAVILION 11-N045TU X360 PC - L1M55PA, HP PAVILION 11-N046TU X360 PC - L1M56PA, HP PAVILION 11-N047TU X360 PC - L8N38PA, HP PAVILION 360 - 11-N102TU - K8U56PA, HP PAVILION 360 - 11-N103TU - L0L60PA, HP PAVILION 360 - 11-N106TU - L0L63PA, HP PAVILION 360 - 11-N107TU - L0L64PA",,,499
" HP LCD Display Raw Panel 13.3"" FHD UWVA 300 Uslim",Replacement Screen Display, L37353-001,,"HP Pavilion - 13-an1069tu - 3S162PA, HP Pavilion - 13-an1070tu - 3S159PA, HP Pavilion - 13-an1071tu - 3S161PA, HP Pavilion - 13-an1074tu - 1A2N8PA, HP PAVILION 13-AN0000TU - 5GQ99PA, HP PAVILION 13-AN0001TU - 5HE66PA, HP PAVILION 13-AN0002TU - 5GR12PA, HP PAVILION 13-AN0003TU - 5GR15PA, HP PAVILION 13-AN0004TU - 5GR22PA, HP PAVILION 13-AN0005TU - 5GR00PA",,,462.62
" HP LCD Display Raw Panel 13.3"" HD SVA 220 Uslim",Replacement Screen Display, L37354-001,,"HP PAVILION 13-AN0004LA - 4PE56LA, HP PAVILION 13-AN0008TU - 5HG26PA, HP PAVILION 13-AN0011TU - 5HS16PA, HP PAVILION 13-AN0012LA - 4PE73LA, HP PAVILION 13-AN0021TU - 5LX40PA, HP PAVILION 13-AN0022TU - 5LX23PA, HP PAVILION 13-AN0030WM - 6BT04UA, HP PAVILION 13-AN0030WM - 6BT04UAR, HP PAVILION 13-AN0049TU - 5XH00PA, HP PAVILION 13-AN0050TU - 5YM20PA",,,499
" HP LCD Display Raw Panel 13.3"" FHD UWVA 300 Uslim",Replacement Screen Display, L37353-001,,"HP Pavilion - 13-an1069tu - 3S162PA, HP Pavilion - 13-an1070tu - 3S159PA, HP Pavilion - 13-an1071tu - 3S161PA, HP Pavilion - 13-an1074tu - 1A2N8PA, HP PAVILION 13-AN0000TU - 5GQ99PA, HP PAVILION 13-AN0001TU - 5HE66PA, HP PAVILION 13-AN0002TU - 5GR12PA, HP PAVILION 13-AN0003TU - 5GR15PA, HP PAVILION 13-AN0004TU - 5GR22PA, HP PAVILION 13-AN0005TU - 5GR00PA",,,462.62
" HP LCD Display Raw Panel 13.3"" WQXGA 400 NWBZ flat",Replacement Screen Display, M52803-001,,"HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 672A0PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 672A1PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 672A2PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 67Q86PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 67Q87PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 67Q88PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 67Q89PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q6AV) - 671Z7PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q6AV) - 671Z8PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q6AV) - 671Z9PA",,,499
" HP LCD Display Raw Panel 13.3"" WQXGA 400 NWBZ flat",Replacement Screen Display, M52803-001,,"HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 672A0PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 672A1PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 672A2PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 67Q86PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 67Q87PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 67Q88PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q5AV) - 67Q89PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q6AV) - 671Z7PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q6AV) - 671Z8PA, HP Pavilion Aero 13 Laptop PC 13-be1000 (502Q6AV) - 671Z9PA",,,499
 HP SPS-DSPLY HINGE COVER NSV TS,Replacement Screen Display, 768038-001,,"HP PAVILION 13-A001AU X360 CONVERTIBLE PC - K2N62PA, HP PAVILION 13-A001XX X360 CONVERTIBLE PC (ENERGY STAR) - J2X27AS, HP PAVILION 13-A001XX X360 CONVERTIBLE PC (ENERGY STAR) - J2X27ASR, HP PAVILION 13-A002AU X360 CONVERTIBLE PC - K2N63PA, HP PAVILION 13-A003AU X360 CONVERTIBLE PC - L1M13PA, HP PAVILION 13-A004AU X360 CONVERTIBLE PC - L1M14PA, HP PAVILION 13-A010DX X360 CONVERTIBLE PC - G6T71UA, HP PAVILION 13-A010DX X360 CONVERTIBLE PC - G6T71UAR, HP PAVILION 13-A010LA X360 CONVERTIBLE PC - F4H81LA, HP PAVILION 13-A010LA X360 CONVERTIBLE PC - F4H81LAR",,,499
 HP SPS-DSPLY HINGE COVER NSV TS,Replacement Screen Display, 768038-001,,"HP PAVILION 13-A001AU X360 CONVERTIBLE PC - K2N62PA, HP PAVILION 13-A001XX X360 CONVERTIBLE PC (ENERGY STAR) - J2X27AS, HP PAVILION 13-A001XX X360 CONVERTIBLE PC (ENERGY STAR) - J2X27ASR, HP PAVILION 13-A002AU X360 CONVERTIBLE PC - K2N63PA, HP PAVILION 13-A003AU X360 CONVERTIBLE PC - L1M13PA, HP PAVILION 13-A004AU X360 CONVERTIBLE PC - L1M14PA, HP PAVILION 13-A010DX X360 CONVERTIBLE PC - G6T71UA, HP PAVILION 13-A010DX X360 CONVERTIBLE PC - G6T71UAR, HP PAVILION 13-A010LA X360 CONVERTIBLE PC - F4H81LA, HP PAVILION 13-A010LA X360 CONVERTIBLE PC - F4H81LAR",,,499
 HP SPS-DSPLY HINGE COVER NSV TS,Replacement Screen Display, 768038-001,,"HP PAVILION 13-A001AU X360 CONVERTIBLE PC - K2N62PA, HP PAVILION 13-A001XX X360 CONVERTIBLE PC (ENERGY STAR) - J2X27AS, HP PAVILION 13-A001XX X360 CONVERTIBLE PC (ENERGY STAR) - J2X27ASR, HP PAVILION 13-A002AU X360 CONVERTIBLE PC - K2N63PA, HP PAVILION 13-A003AU X360 CONVERTIBLE PC - L1M13PA, HP PAVILION 13-A004AU X360 CONVERTIBLE PC - L1M14PA, HP PAVILION 13-A010DX X360 CONVERTIBLE PC - G6T71UA, HP PAVILION 13-A010DX X360 CONVERTIBLE PC - G6T71UAR, HP PAVILION 13-A010LA X360 CONVERTIBLE PC - F4H81LA, HP PAVILION 13-A010LA X360 CONVERTIBLE PC - F4H81LAR",,,499
" HP PNL KIT, LCD 13.3 AG FHD USLIM HD TS",Replacement Screen Display, 856019-001,,"HP PAVILION X360 - M3-U103DX - W2L18UA, HP PAVILION X360 - M3-U103DX - W2L18UAR, HP PAVILION X360 - M3-U105DX - W2L20UA, HP PAVILION X360 - M3-U105DX - W2L20UAR, HP PAVILION X360 M3-U003DX (ENERGY STAR) - W2L16UA, HP PAVILION X360 M3-U003DX (ENERGY STAR) - W2L16UAR, HP Pavilion 13-u001nl - X0L99EA, HP Pavilion 13-u001nl - X0L99EAR, HP PAVILION X360 - 13T-U100 CTO - V5M13AV",,,616.46
" HP PNL KIT, LCD 13.3 AG FHD USLIM HD TS",Replacement Screen Display, 856019-001,,"HP PAVILION X360 - M3-U103DX - W2L18UA, HP PAVILION X360 - M3-U103DX - W2L18UAR, HP PAVILION X360 - M3-U105DX - W2L20UA, HP PAVILION X360 - M3-U105DX - W2L20UAR, HP PAVILION X360 M3-U003DX (ENERGY STAR) - W2L16UA, HP PAVILION X360 M3-U003DX (ENERGY STAR) - W2L16UAR, HP Pavilion 13-u001nl - X0L99EA, HP Pavilion 13-u001nl - X0L99EAR, HP PAVILION X360 - 13T-U100 CTO - V5M13AV",,,616.46
" HP LCD Display Raw Panel 14"" FHD BV UWVA 250",Replacement Screen Display, M16628-001,,"HP Pavilion 14 Laptop PC 14-dv2000 (4Z016AV) - 68J08PA, HP Pavilion 14 Laptop PC 14-dv2000 (4Z016AV) - 6D6S7PA, HP Pavilion 14 Laptop PC 14-dv2000 (4Z016AV) - 6D6S8PA, HP Pavilion 14 Laptop PC 14-dv2000 (4Z018AV) - 6B559PA, HP Pavilion 14 Laptop PC 14-dv2000 (4Z018AV) - 6B561PA, HP Pavilion 14 Laptop PC 14-dv2000 (4Z018AV) - 6C683PA, HP Pavilion 14 Laptop PC 14-dv2000 (4Z019AV) - 6B558PA, HP Pavilion 14-dv0501TX (190U4AV) - 3K1V7PA, HP Pavilion 14-dv0502TX (190U4AV) - 3N8Q5PA, HP Pavilion 14-dv0503TX (190U4AV) - 46R22PA",,,466.64
" HP LCD Display Raw Panel 14"" FHD BV UWVA 250",Replacement Screen Display, M52701-001,,"HP Pavilion 14 Laptop PC 14-ec1000 (4V212AV) - 67Q94PA, HP Pavilion 14 Laptop PC 14-ec1000 (4V212AV) - 67Q95PA, HP Pavilion 14 Laptop PC 14-ec1000 (4V212AV) - 67U18PA, HP Pavilion 14 Laptop PC 14-ec1000 (4V212AV) - 67U19PA, HP Pavilion 14 Laptop PC 14-ec1000 (4V212AV) - 681T9PA, HP Pavilion 14 Laptop PC 14-ec1000 (4V212AV) - 689H4PA, HP Pavilion 14 Laptop PC 14-ec1000 IDS Base Model - 4V215AV, HP Pavilion 14-ec0000AU (2Z8E3AV) - 422U4PA, HP Pavilion 14-ec0001AU (2Z8E3AV) - 422U5PA, HP Pavilion 14-ec0002AU (2Z8E2AV) - 42A36PA",,,499
" HP LCD Display Raw Panel 14"" FHD AG UWVA 250",Replacement Screen Display, M52698-001,,"HP Pavilion 14 Laptop PC 14-ec1000 IDS Base Model - 4V215AV, HP Pavilion 14-ec0000AX (2Z8E5AV) - 4J0X8PA, HP Pavilion 14-ec0001AX (2Z8E5AV) - 498D0PA, HP Pavilion 14-ec0002AX (2Z8E5AV) - 498D1PA, HP Pavilion 14-ec0006AX (2Z8E5AV) - 4L6V1PA, HP Pavilion 14-ec0008AX (2Z8E5AV) - 4X7F9PA, HP Pavilion 14-ec0009AX (2Z8E5AV) - 4X7Z9PA, HP Pavilion 14-ec0010AU (2Z8E6AV) - 5B143PA, HP Pavilion 14-ec0011AU (2Z8E3AV) - 470U6PA, HP Pavilion 14-ec0011AX (2Z8E5AV) - 4X800PA",,,499
 HP SPS-LCD RAW PANEL 14 LED BV HD TS TOP,Replacement Screen Display, 811079-001,,"HP PAVILION NOTEBOOK - 14-AB045TX (TOUCH) - M9V48PA, HP PAVILION NOTEBOOK - 14-AB046TX - M9V49PA, HP PAVILION NOTEBOOK - 14-AB047TX - M9V50PA, HP PAVILION NOTEBOOK - 14-AB048TX - M9V90PA, HP PAVILION NOTEBOOK - 14-AB049TX - M9V91PA, HP PAVILION NOTEBOOK - 14-AB051TX - N4G24PA, HP PAVILION NOTEBOOK - 14-AB052TX - N4G25PA, HP PAVILION NOTEBOOK - 14-AB053TX - N4G26PA, HP PAVILION NOTEBOOK - 14-AB084CA (TOUCH) (ENERGY STAR) - M1X31UA, HP PAVILION NOTEBOOK - 14-AB084CA (TOUCH) (ENERGY STAR) - M1X31UAR",,,499
 HP SPS-LCD RAW PANEL 14 LED AG FHD,Replacement Screen Display, 811081-001,,"HP PAVILION NOTEBOOK - 14-AB054TX - N4G42PA, HP PAVILION NOTEBOOK - 14-AB055TX - N4G43PA, HP PAVILION NOTEBOOK - 14-AB057TX - P3C75PA, HP PAVILION NOTEBOOK - 14-AB058TX - P3C76PA, HP PAVILION NOTEBOOK - 14-AB059TX - P3C77PA, HP PAVILION NOTEBOOK - 14-AB101TX - P3C35PA, HP PAVILION NOTEBOOK - 14-AB102TX - P3C36PA, HP PAVILION NOTEBOOK - 14-AB103TX - P3C37PA, HP PAVILION NOTEBOOK - 14-AB104TX - P3C38PA, HP PAVILION NOTEBOOK - 14-AB105TX - P3C39PA",,,499
 HP SPS-LCD RAW PANEL 14 LED BV HD TS TOP,Replacement Screen Display, 811079-001,,"HP PAVILION NOTEBOOK - 14-AB045TX (TOUCH) - M9V48PA, HP PAVILION NOTEBOOK - 14-AB046TX - M9V49PA, HP PAVILION NOTEBOOK - 14-AB047TX - M9V50PA, HP PAVILION NOTEBOOK - 14-AB048TX - M9V90PA, HP PAVILION NOTEBOOK - 14-AB049TX - M9V91PA, HP PAVILION NOTEBOOK - 14-AB051TX - N4G24PA, HP PAVILION NOTEBOOK - 14-AB052TX - N4G25PA, HP PAVILION NOTEBOOK - 14-AB053TX - N4G26PA, HP PAVILION NOTEBOOK - 14-AB084CA (TOUCH) (ENERGY STAR) - M1X31UA, HP PAVILION NOTEBOOK - 14-AB084CA (TOUCH) (ENERGY STAR) - M1X31UAR",,,499
 HP SPS-LCD RAW PANEL 14 LED AG FHD,Replacement Screen Display, 811081-001,,"HP PAVILION NOTEBOOK - 14-AB054TX - N4G42PA, HP PAVILION NOTEBOOK - 14-AB055TX - N4G43PA, HP PAVILION NOTEBOOK - 14-AB057TX - P3C75PA, HP PAVILION NOTEBOOK - 14-AB058TX - P3C76PA, HP PAVILION NOTEBOOK - 14-AB059TX - P3C77PA, HP PAVILION NOTEBOOK - 14-AB101TX - P3C35PA, HP PAVILION NOTEBOOK - 14-AB102TX - P3C36PA, HP PAVILION NOTEBOOK - 14-AB103TX - P3C37PA, HP PAVILION NOTEBOOK - 14-AB104TX - P3C38PA, HP PAVILION NOTEBOOK - 14-AB105TX - P3C39PA",,,499
 HP SPS-LCD RAW PANEL 14 AG FHD UWVA,Replacement Screen Display, 837618-001,,"HP PAVILION NOTEBOOK - 14-AB136TX - P4X26PA, HP PAVILION NOTEBOOK - 14-AB137TX - P4X27PA, HP PAVILION NOTEBOOK - 14-AB138TX - P4X28PA, HP PAVILION NOTEBOOK - 14-AB139TX - P4X29PA, HP PAVILION NOTEBOOK - 14-AB140TX - P6L94PA, HP PAVILION NOTEBOOK - 14-AB141TX - P6L95PA, HP PAVILION NOTEBOOK - 14-AB153TX - T0Z20PA, HP PAVILION NOTEBOOK - 14-AB154TX - T0Z21PA, HP PAVILION NOTEBOOK - 14-AB155TX - T0Z22PA, HP PAVILION NOTEBOOK - 14-AB156TX - T0Z70PA",,,499
